V1,location_name,location_id,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,deaths_mean,deaths_lower,deaths_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,totdea_mean,totdea_lower,totdea_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths,cases
20720,Oregon,560,2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20721,Oregon,560,2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20722,Oregon,560,2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20723,Oregon,560,2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20724,Oregon,560,2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20725,Oregon,560,2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20726,Oregon,560,2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20727,Oregon,560,2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20728,Oregon,560,2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20729,Oregon,560,2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20730,Oregon,560,2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20731,Oregon,560,2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20732,Oregon,560,2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20733,Oregon,560,2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20734,Oregon,560,2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20735,Oregon,560,3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20736,Oregon,560,3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20737,Oregon,560,3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20738,Oregon,560,3/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20739,Oregon,560,3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20740,Oregon,560,3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20741,Oregon,560,3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
20742,Oregon,560,3/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
20743,Oregon,560,3/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
20744,Oregon,560,3/10/20,4.76055,3.15,7.3025,1,1,1,1,1,1,0,0,0,4.76055,3.15,7.3025,1,1,1,0,0,0,0,0,0,0,0,0,14,0
20745,Oregon,560,3/11/20,4.76055,3.15,7.3025,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
20746,Oregon,560,3/12/20,4.76055,3.15,7.3025,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
20747,Oregon,560,3/13/20,9.46895,7.04875,12.95,2.3377,2.1,2.7,2.2447,2.05,2.55,0,0,0,4.7084,3.2,7.1,1.3377,1.1,1.7,0,0,0,0,0,0,0,0,0,30,0
20748,Oregon,560,3/14/20,14.1848,11.05,18.20125,3.3377,3.1,3.7,3.2447,3.05,3.55,0,0,0,4.71585,3.2,7.15125,1,1,1,0,0,0,0,0,0,0,0,0,36,1
20749,Oregon,560,3/15/20,14.1848,11.05,18.20125,3.3377,3.1,3.7,3.2447,3.05,3.55,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,39,1
20750,Oregon,560,3/16/20,22.6714,18.49875,27.95125,4.6694,4.3,5.15,4.4892,4.19875,4.9,0,0,0,9.4866,6.95,12.85125,2.3317,2.1,2.65125,1,1,1,0,0,0,0,0,0,46,1
20751,Oregon,560,3/17/20,19.24855,15.54875,23.9025,4.99615,4.5,5.6,4.73305,4.35,5.2,0,0,0,0,0,0,0.32675,0.05,0.65,1,1,1,0,0,0,0,0,0,66,2
20752,Oregon,560,3/18/20,19.24855,15.54875,23.9025,4.99615,4.5,5.6,4.73305,4.35,5.2,1,1,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,74,3
20753,Oregon,560,3/19/20,32.4801,27.15,38.8025,7.6526,7,8.4,7.21955,6.69875,7.85,1,1,1,14.23155,11.05,18.4,3.65645,3.29875,4.15,3,3,3,0,0,0,0,0,0,87,3
20754,Oregon,560,3/20/20,37.53445,31.99875,44.65125,8.6526,8,9.4,8.21955,7.69875,8.85,0,0,0,9.43105,7,12.70125,2,2,2,3,3,3,0,0,0,0,0,0,114,3
20755,Oregon,560,3/21/20,38.8429,33.5,45.40125,9.6526,9,10.4,9.21955,8.69875,9.85,2,2,2,4.69755,3.15,7.25125,1,1,1,5,5,5,0,0,0,0,0,0,137,4
20756,Oregon,560,3/22/20,41.60725,35.8,49.005,9.6512,8.85,10.55,8.95545,8.3,9.75,0,0,0,4.76435,3.2,7.4,1.9986,1.5,2.55,5,5,5,0,0,0,0,0,0,161,5
20757,Oregon,560,3/23/20,39.528,33.85,46.3,11.2975,10.4,12.3,10.4301,9.64875,11.25,0,0,0,4.7509,3.2,7.25125,1.6463,1.3,2.1,5,5,5,0,0,0,0,0,0,191,5
20758,Oregon,560,3/24/20,39.528,33.85,46.3,11.6255,10.65,12.70125,10.6752,9.85,11.55,3,3,3,0,0,0,0.328,0.05,0.65125,8,8,8,0,0,0,0,0,0,209,8
20759,Oregon,560,3/25/20,50.8069,44.4,58.85,11.96055,10.94875,13.1,10.9217,10,11.9,2,2,2,14.2789,11.04875,18.15125,3.33505,3.1,3.65125,10,10,10,0,0,0,0,0,0,266,10
20760,Oregon,560,3/26/20,48.09665,41.95,55.3525,11.96005,11,13.15,10.92735,10.05,11.85,1,1,1,9.5227,7.05,13.15125,2.3372,2.05,2.7,11,11,11,0,0,0,0,0,0,316,11
20761,Oregon,560,3/27/20,45.00025,39.19875,52.05,11.96005,11,13.15,10.92735,10.05,11.85,1,1,1,4.68835,3.15,7.25125,1,1,1,12,12,12,0,0,0,0,0,0,414,12
20762,Oregon,560,3/28/20,50.1237,43.75,57.55125,13.95445,12.85,15.25125,12.66235,11.7,13.7,1,1,1,9.493,7.15,13.20125,2.9944,2.5,3.55,13,13,13,0,0,0,0,0,0,479,13
20763,Oregon,560,3/29/20,50.43035,44.15,58,14.2884,13.15,15.6,12.90345,11.9,13.95,0,0,0,4.73595,3.2,7.3,1.66565,1.3,2.2,13,13,13,0,0,0,0,0,0,548,13
20764,Oregon,560,3/30/20,46.67895,40.8,54.2,14.2927,13.1,15.65,12.90335,11.9,13.9,3,3,3,0,0,0,0.33105,0.05,0.65,16,16,16,0,0,0,0,0,0,606,16
20765,Oregon,560,3/31/20,67.432,60.2475,75.65,16.94935,15.75,18.4,15.3879,14.39875,16.55,2,2,2,23.75305,19.64875,28.80125,5.65665,5.25,6.15,18,18,18,0,0,0,0,0,0,690,18
20766,Oregon,560,4/1/20,55.1475,49,62.40125,14.62365,13.35,15.9,13.1475,12.1,14.25,1,1,1,0,0,0,0.33075,0.1,0.7,19,19,19,0,0,0,0,0,0,736,19
20767,Oregon,560,4/2/20,56.4722,50.19875,63.85375,15.62365,14.35,16.9,14.1475,13.1,15.25,2,2,2,9.51345,7.05,12.95,2,2,2,21,21,21,0,0,0,0,0,0,826,21
20768,Oregon,560,4/3/20,69.77465,62.1975,77.80125,19.27125,17.95,20.75,17.3615,16.2,18.55,1,1,1,18.9865,15.24875,23.4,5.6476,5.05,6.3,22,22,22,0,0,0,0,0,0,899,22
20769,Oregon,560,4/4/20,114.02605,104.34875,124.7025,28.27265,26.95,29.6,26.6256,25.5,27.75,0,0,0,52.08775,45.25,59.95375,11,11,11,22,22,22,0,0,0,0,0,0,999,26
